"Category","FriendlyName","DataName","RequiredProject","Stats","Cost"
"Weapon_Laser","960 cm UV Arc Laser Cannon","960cmUVArcLaserCannon","Project_240cmUVArcLaserCannon","Range:1000 Dmg:400 Wavelength:270",""
"Weapon_Laser","Region Defense IR Laser","RegionDefenseIRLaser",,"Range:2000 Dmg:1000 Wavelength:810",""
"Weapon_Laser","Region Defense Green Laser","RegionDefenseGreenLaser",,"Range:2000 Dmg:1000 Wavelength:540",""
"Weapon_Laser","Region Defense IR Arc Laser","RegionDefenseIRArcLaser",,"Range:2000 Dmg:1000 Wavelength:810",""
"Weapon_Laser","Region Defense Green Arc Laser","RegionDefenseGreenArcLaser",,"Range:2000 Dmg:1000 Wavelength:540",""
"Weapon_Laser","Region Defense IR Phaser","RegionDefenseIRPhaser",,"Range:2000 Dmg:1000 Wavelength:810",""
"Weapon_Laser","Region Defense Green Phaser","RegionDefenseGreenPhaser",,"Range:2000 Dmg:1000 Wavelength:540",""
"Weapon_Laser","T1 Base IR Laser","T1BaseIRLaser",,"Range:2000 Dmg:500 Wavelength:810",""
"Weapon_Laser","T1 Base Green Laser","T1BaseGreenLaser",,"Range:2000 Dmg:500 Wavelength:540",""
"Weapon_Laser","T1 Base UV Laser","T1BaseUVLaser",,"Range:2000 Dmg:500 Wavelength:270",""
"Weapon_Laser","T1 Base IR Arc Laser","T1BaseIRArcLaser",,"Range:2000 Dmg:500 Wavelength:810",""
"Weapon_Laser","T1 Base Green Arc Laser","T1BaseGreenArcLaser",,"Range:2000 Dmg:500 Wavelength:540",""
"Weapon_Laser","T1 Base UV Arc Laser","T1BaseUVArcLaser",,"Range:2000 Dmg:500 Wavelength:270",""
"Weapon_Laser","T1 Base IR Phaser","T1BaseIRPhaser",,"Range:2000 Dmg:500 Wavelength:810",""
"Weapon_Laser","T1 Base Green Phaser","T1BaseGreenPhaser",,"Range:2000 Dmg:500 Wavelength:540",""
"Weapon_Laser","T1 Base UV Phaser","T1BaseUVPhaser",,"Range:2000 Dmg:500 Wavelength:270",""
"Weapon_Laser","T2 Base IR Laser","T2BaseIRLaser",,"Range:2000 Dmg:650 Wavelength:810",""
"Weapon_Laser","T2 Base Green Laser","T2BaseGreenLaser",,"Range:2000 Dmg:650 Wavelength:540",""
"Weapon_Laser","T2 Base UV Laser","T2BaseUVLaser",,"Range:2000 Dmg:650 Wavelength:270",""
"Weapon_Laser","T2 Base IR Arc Laser","T2BaseIRArcLaser",,"Range:2000 Dmg:650 Wavelength:810",""
"Weapon_Laser","T2 Base Green Arc Laser","T2BaseGreenArcLaser",,"Range:2000 Dmg:650 Wavelength:540",""
"Weapon_Laser","T2 Base UV Arc Laser","T2BaseUVArcLaser",,"Range:2000 Dmg:650 Wavelength:270",""
"Weapon_Laser","T2 Base IR Phaser","T2BaseIRPhaser",,"Range:2000 Dmg:650 Wavelength:810",""
"Weapon_Laser","T2 Base Green Phaser","T2BaseGreenPhaser",,"Range:2000 Dmg:650 Wavelength:540",""
"Weapon_Laser","T2 Base UV Phaser","T2BaseUVPhaser",,"Range:2000 Dmg:650 Wavelength:270",""
"Weapon_Laser","T3 Base IR Laser","T3BaseIRLaser",,"Range:2000 Dmg:800 Wavelength:810",""
"Weapon_Laser","T3 Base Green Laser","T3BaseGreenLaser",,"Range:2000 Dmg:800 Wavelength:540",""
"Weapon_Laser","T3 Base UV Laser","T3BaseUVLaser",,"Range:2000 Dmg:800 Wavelength:270",""
"Weapon_Laser","T3 Base IR Arc Laser","T3BaseIRArcLaser",,"Range:2000 Dmg:800 Wavelength:810",""
"Weapon_Laser","T3 Base Green Arc Laser","T3BaseGreenArcLaser",,"Range:2000 Dmg:800 Wavelength:540",""
"Weapon_Laser","T3 Base UV Arc Laser","T3BaseUVArcLaser",,"Range:2000 Dmg:800 Wavelength:270",""
"Weapon_Laser","T3 Base IR Phaser","T3BaseIRPhaser",,"Range:2000 Dmg:800 Wavelength:810",""
"Weapon_Laser","T3 Base Green Phaser","T3BaseGreenPhaser",,"Range:2000 Dmg:800 Wavelength:540",""
"Weapon_Laser","T3 Base UV Phaser","T3BaseUVPhaser",,"Range:2000 Dmg:800 Wavelength:270",""
"Battery","Lithium-Ion Battery","Lithium-IonBattery",,"Capacity_GJ:15 Mass_t:30",""
"Battery","Lithium-Sulfur Battery","Lithium-SulfurBattery","Project_Lithium-SulfurBattery","Capacity_GJ:21 Mass_t:35",""
"Battery","Molten Salt Battery","MoltenSaltBattery","Project_MoltenSaltBattery","Capacity_GJ:40 Mass_t:80",""
"Battery","Salt Water Battery","SaltWaterBattery","Project_SaltWaterBattery","Capacity_GJ:20 Mass_t:20",""
"Battery","Graphene Battery","GrapheneBattery","Project_GrapheneBattery","Capacity_GJ:48 Mass_t:120",""
"Battery","Quantum Battery","QuantumBattery","Project_QuantumBattery","Capacity_GJ:80 Mass_t:80",""
"Weapon_Gun","30mm Autocannon","30mmAutocannon","Project_Warships","Range:200 Cooldown:4 Dmg:3.189375",""
"Weapon_Gun","35mm Autocannon","35mmAutocannon",,"Range:200 Cooldown:4 Dmg:11",""
"Weapon_Gun","40mm Autocannon","40mmAutocannon","Project_40mmAutocannon","Range:350 Cooldown:4 Dmg:20.28",""
"Weapon_Gun","6-inch Cannon","6-inchCannon","Project_Warships","Range:250 Cooldown:12 Dmg:22.05",""
"Weapon_Gun","8-inch Cannon","8-inchCannon","Project_PatrolVessels","Range:250 Cooldown:15 Dmg:49",""
"Weapon_Gun","10-inch Cannon","10-inchCannon","Project_Warships","Range:250 Cooldown:16 Dmg:88.2",""
"Weapon_Gun","12-inch Cannon","12-inchCannon","Project_PatrolVessels","Range:250 Cooldown:20 Dmg:156.8",""
"Hull","Gunship","Gunship","Project_Warships","Nose:1 MC: Mass_t:178 Utility: Hull:0",""
"Hull","Escort","Escort","Project_Warships","Nose:0 MC: Mass_t:350 Utility: Hull:2",""
"Hull","Corvette","Corvette","Project_Warships","Nose:1 MC: Mass_t:400 Utility: Hull:1",""
"Hull","Frigate","Frigate","Project_PatrolVessels","Nose:1 MC: Mass_t:600 Utility: Hull:2",""
"Hull","Monitor","Monitor","Project_PatrolVessels","Nose:0 MC: Mass_t:800 Utility: Hull:4",""
"Hull","Destroyer","Destroyer","Project_PatrolVessels","Nose:2 MC: Mass_t:825 Utility: Hull:2",""
"Hull","Cruiser","Cruiser","Project_FleetCombatants","Nose:2 MC: Mass_t:1000 Utility: Hull:3",""
"Hull","Battlecruiser","Battlecruiser","Project_FleetCombatants","Nose:3 MC: Mass_t:1200 Utility: Hull:2",""
"Hull","Battleship","Battleship","Project_FleetCombatants","Nose:2 MC: Mass_t:1600 Utility: Hull:6",""
"Hull","STO Fighter","STOFighter",,"Nose:1 MC: Mass_t:30 Utility: Hull:1",""
"Drive","Apex Solid Rocket x1","ApexSolidRocketx1","Project_Solid-FuelSpaceRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:14820000 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:2.6 Mass_t:66",""
"Drive","Apex Solid Rocket x2","ApexSolidRocketx2","Project_Solid-FuelSpaceRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:29640000 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:2.6 Mass_t:132",""
"Drive","Apex Solid Rocket x3","ApexSolidRocketx3","Project_Solid-FuelSpaceRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:44460000 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:2.6 Mass_t:198",""
"Drive","Apex Solid Rocket x4","ApexSolidRocketx4","Project_Solid-FuelSpaceRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:59280000 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:2.6 Mass_t:264",""
"Drive","Apex Solid Rocket x5","ApexSolidRocketx5","Project_Solid-FuelSpaceRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:74100000 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:2.6 Mass_t:330",""
"Drive","Apex Solid Rocket x6","ApexSolidRocketx6","Project_Solid-FuelSpaceRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:88920000 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:2.6 Mass_t:396",""
"Drive","Meteor Liquid Rocket x1","MeteorLiquidRocketx1","Project_Liquid-FuelRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:15481000 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:2.98 Mass_t:17",""
"Drive","Meteor Liquid Rocket x2","MeteorLiquidRocketx2","Project_Liquid-FuelRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:30962000 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:2.98 Mass_t:34",""
"Drive","Meteor Liquid Rocket x3","MeteorLiquidRocketx3","Project_Liquid-FuelRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:46443000 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:2.98 Mass_t:51",""
"Drive","Meteor Liquid Rocket x4","MeteorLiquidRocketx4","Project_Liquid-FuelRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:61924000 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:2.98 Mass_t:68",""
"Drive","Meteor Liquid Rocket x5","MeteorLiquidRocketx5","Project_Liquid-FuelRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:77405000 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:2.98 Mass_t:85",""
"Drive","Meteor Liquid Rocket x6","MeteorLiquidRocketx6","Project_Liquid-FuelRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:92886000 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:2.98 Mass_t:102",""
"Drive","Neutron Liquid Rocket x1","NeutronLiquidRocketx1","Project_Liquid-FuelRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:20376000 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:3.1 Mass_t:13",""
"Drive","Neutron Liquid Rocket x2","NeutronLiquidRocketx2","Project_Liquid-FuelRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:40752000 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:3.1 Mass_t:26",""
"Drive","Neutron Liquid Rocket x3","NeutronLiquidRocketx3","Project_Liquid-FuelRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:61128000 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:3.1 Mass_t:39",""
"Drive","Neutron Liquid Rocket x4","NeutronLiquidRocketx4","Project_Liquid-FuelRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:81504000 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:3.1 Mass_t:52",""
"Drive","Neutron Liquid Rocket x5","NeutronLiquidRocketx5","Project_Liquid-FuelRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:101880000 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:3.1 Mass_t:65",""
"Drive","Neutron Liquid Rocket x6","NeutronLiquidRocketx6","Project_Liquid-FuelRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:122256000 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:3.1 Mass_t:78",""
"Drive","Venture Liquid Rocket x1","VentureLiquidRocketx1","Project_CryogenicLiquid-FuelRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:9279600 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:4.44 Mass_t:14",""
"Drive","Venture Liquid Rocket x2","VentureLiquidRocketx2","Project_CryogenicLiquid-FuelRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:18559200 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:4.44 Mass_t:28",""
"Drive","Venture Liquid Rocket x3","VentureLiquidRocketx3","Project_CryogenicLiquid-FuelRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:27838800 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:4.44 Mass_t:42",""
"Drive","Venture Liquid Rocket x4","VentureLiquidRocketx4","Project_CryogenicLiquid-FuelRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:37118400 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:4.44 Mass_t:56",""
"Drive","Venture Liquid Rocket x5","VentureLiquidRocketx5","Project_CryogenicLiquid-FuelRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:46398000 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:4.44 Mass_t:70",""
"Drive","Venture Liquid Rocket x6","VentureLiquidRocketx6","Project_CryogenicLiquid-FuelRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:55677600 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:4.44 Mass_t:84",""
"Drive","Nova Liquid Rocket x1","NovaLiquidRocketx1","Project_ImprovedInterplanetaryRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:7850000 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:5.6 Mass_t:15",""
"Drive","Nova Liquid Rocket x2","NovaLiquidRocketx2","Project_ImprovedInterplanetaryRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:15700000 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:5.6 Mass_t:30",""
"Drive","Nova Liquid Rocket x3","NovaLiquidRocketx3","Project_ImprovedInterplanetaryRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:23550000 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:5.6 Mass_t:45",""
"Drive","Nova Liquid Rocket x4","NovaLiquidRocketx4","Project_ImprovedInterplanetaryRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:31400000 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:5.6 Mass_t:60",""
"Drive","Nova Liquid Rocket x5","NovaLiquidRocketx5","Project_ImprovedInterplanetaryRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:39250000 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:5.6 Mass_t:75",""
"Drive","Nova Liquid Rocket x6","NovaLiquidRocketx6","Project_ImprovedInterplanetaryRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:47100000 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:5.6 Mass_t:90",""
"Drive","Super Kronos Liquid Rocket x1","SuperKronosLiquidRocketx1","Project_AdvancedInterplanetaryRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:2500000 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:21.6 Mass_t:10",""
"Drive","Super Kronos Liquid Rocket x2","SuperKronosLiquidRocketx2","Project_AdvancedInterplanetaryRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:5000000 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:21.6 Mass_t:20",""
"Drive","Super Kronos Liquid Rocket x3","SuperKronosLiquidRocketx3","Project_AdvancedInterplanetaryRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:7500000 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:21.6 Mass_t:30",""
"Drive","Super Kronos Liquid Rocket x4","SuperKronosLiquidRocketx4","Project_AdvancedInterplanetaryRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:10000000 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:21.6 Mass_t:40",""
"Drive","Super Kronos Liquid Rocket x5","SuperKronosLiquidRocketx5","Project_AdvancedInterplanetaryRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:12500000 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:21.6 Mass_t:50",""
"Drive","Super Kronos Liquid Rocket x6","SuperKronosLiquidRocketx6","Project_AdvancedInterplanetaryRockets","ThrustCap:1 DriveClass:Chemical Efficiency:1 Thrust_N:15000000 ReqPowerPlant:Any_General Propellant:ReactionProducts EV_kps:21.6 Mass_t:60",""
"Drive","Tungsten Resistojet x1","TungstenResistojetx1","Project_TungstenResistojet","ThrustCap:10 DriveClass:Electrothermal Efficiency:0.81 Thrust_N:9900 ReqPowerPlant:Any_General Propellant:Hydrogen EV_kps:9.8 Mass_t:0",""
"Drive","Tungsten Resistojet x2","TungstenResistojetx2","Project_TungstenResistojet","ThrustCap:10 DriveClass:Electrothermal Efficiency:0.81 Thrust_N:19800 ReqPowerPlant:Any_General Propellant:Hydrogen EV_kps:9.8 Mass_t:0",""
"Drive","Tungsten Resistojet x3","TungstenResistojetx3","Project_TungstenResistojet","ThrustCap:10 DriveClass:Electrothermal Efficiency:0.81 Thrust_N:29700 ReqPowerPlant:Any_General Propellant:Hydrogen EV_kps:9.8 Mass_t:0",""
"Drive","Tungsten Resistojet x4","TungstenResistojetx4","Project_TungstenResistojet","ThrustCap:10 DriveClass:Electrothermal Efficiency:0.81 Thrust_N:39600 ReqPowerPlant:Any_General Propellant:Hydrogen EV_kps:9.8 Mass_t:0",""
"Drive","Tungsten Resistojet x5","TungstenResistojetx5","Project_TungstenResistojet","ThrustCap:10 DriveClass:Electrothermal Efficiency:0.81 Thrust_N:49500 ReqPowerPlant:Any_General Propellant:Hydrogen EV_kps:9.8 Mass_t:0",""
"Drive","Tungsten Resistojet x6","TungstenResistojetx6","Project_TungstenResistojet","ThrustCap:10 DriveClass:Electrothermal Efficiency:0.81 Thrust_N:59400 ReqPowerPlant:Any_General Propellant:Hydrogen EV_kps:9.8 Mass_t:0",""
"Drive","E-Beam Drive x1","E-BeamDrivex1","Project_E-BeamDrive","ThrustCap:16 DriveClass:Electrothermal Efficiency:0.76 Thrust_N:4600 ReqPowerPlant:Any_General Propellant:Anything EV_kps:19.62 Mass_t:0",""
"Drive","E-Beam Drive x2","E-BeamDrivex2","Project_E-BeamDrive","ThrustCap:16 DriveClass:Electrothermal Efficiency:0.76 Thrust_N:9200 ReqPowerPlant:Any_General Propellant:Anything EV_kps:19.62 Mass_t:0",""
"Drive","E-Beam Drive x3","E-BeamDrivex3","Project_E-BeamDrive","ThrustCap:16 DriveClass:Electrothermal Efficiency:0.76 Thrust_N:13800 ReqPowerPlant:Any_General Propellant:Anything EV_kps:19.62 Mass_t:0",""
"Drive","E-Beam Drive x4","E-BeamDrivex4","Project_E-BeamDrive","ThrustCap:16 DriveClass:Electrothermal Efficiency:0.76 Thrust_N:18400 ReqPowerPlant:Any_General Propellant:Anything EV_kps:19.62 Mass_t:0",""
"Drive","E-Beam Drive x5","E-BeamDrivex5","Project_E-BeamDrive","ThrustCap:16 DriveClass:Electrothermal Efficiency:0.76 Thrust_N:23000 ReqPowerPlant:Any_General Propellant:Anything EV_kps:19.62 Mass_t:0",""
"Drive","E-Beam Drive x6","E-BeamDrivex6","Project_E-BeamDrive","ThrustCap:16 DriveClass:Electrothermal Efficiency:0.76 Thrust_N:27600 ReqPowerPlant:Any_General Propellant:Anything EV_kps:19.62 Mass_t:0",""
"Drive","Amplitron Drive x1","AmplitronDrivex1","Project_AmplitronDrive","ThrustCap:20 DriveClass:Electrothermal Efficiency:0.81 Thrust_N:12000 ReqPowerPlant:Any_General Propellant:Water EV_kps:9.81 Mass_t:0",""
"Drive","Amplitron Drive x2","AmplitronDrivex2","Project_AmplitronDrive","ThrustCap:20 DriveClass:Electrothermal Efficiency:0.81 Thrust_N:24000 ReqPowerPlant:Any_General Propellant:Water EV_kps:9.81 Mass_t:0",""
"Drive","Amplitron Drive x3","AmplitronDrivex3","Project_AmplitronDrive","ThrustCap:20 DriveClass:Electrothermal Efficiency:0.81 Thrust_N:36000 ReqPowerPlant:Any_General Propellant:Water EV_kps:9.81 Mass_t:0",""
"Drive","Amplitron Drive x4","AmplitronDrivex4","Project_AmplitronDrive","ThrustCap:20 DriveClass:Electrothermal Efficiency:0.81 Thrust_N:48000 ReqPowerPlant:Any_General Propellant:Water EV_kps:9.81 Mass_t:0",""
"Drive","Amplitron Drive x5","AmplitronDrivex5","Project_AmplitronDrive","ThrustCap:20 DriveClass:Electrothermal Efficiency:0.81 Thrust_N:60000 ReqPowerPlant:Any_General Propellant:Water EV_kps:9.81 Mass_t:0",""
"Drive","Amplitron Drive x6","AmplitronDrivex6","Project_AmplitronDrive","ThrustCap:20 DriveClass:Electrothermal Efficiency:0.81 Thrust_N:72000 ReqPowerPlant:Any_General Propellant:Water EV_kps:9.81 Mass_t:0",""
"Drive","Ion Drive x1","IonDrivex1","Project_IonDrive","ThrustCap:1 DriveClass:Electrostatic Efficiency:0.95 Thrust_N:3300 ReqPowerPlant:Any_General Propellant:NobleGases EV_kps:78.4 Mass_t:0",""
"Drive","Ion Drive x2","IonDrivex2","Project_IonDrive","ThrustCap:1 DriveClass:Electrostatic Efficiency:0.95 Thrust_N:6600 ReqPowerPlant:Any_General Propellant:NobleGases EV_kps:78.4 Mass_t:0",""
"Drive","Ion Drive x3","IonDrivex3","Project_IonDrive","ThrustCap:1 DriveClass:Electrostatic Efficiency:0.95 Thrust_N:9900 ReqPowerPlant:Any_General Propellant:NobleGases EV_kps:78.4 Mass_t:0",""
"Drive","Ion Drive x4","IonDrivex4","Project_IonDrive","ThrustCap:1 DriveClass:Electrostatic Efficiency:0.95 Thrust_N:13200 ReqPowerPlant:Any_General Propellant:NobleGases EV_kps:78.4 Mass_t:0",""
