"ID","displayName","personalName","familyName","typeTemplateName","HomeRegionID","Persuasion","Investigation","Espionage","Command","Administration","Science","Security","Loyalty","status"
"3897","Sean MacMaster","Sean","MacMaster","Professor","2860","6","5","3","0","3","6","1","9","Active"
"3898","Arthur Simental","Arthur","Simental","Fixer","2833","3","6","5","1","1","1","4","10","Active"
"3899","Daniel Kostek","Daniel","Kostek","Politician","835","7","3","3","2","4","0","4","3","Active"
"3900","Rainer Belmont","Rainer","Belmont","Investigator","2842","2","7","4","1","3","2","4","8","Active"
"3901","Wyatt Benson","Wyatt","Benson","Commando","2860","1","5","4","5","1","0","6","14","Active"
"3902","T. J. Rogers","T. J.","Rogers","Hacker","2788","3","5","6","0","2","5","4","4","Active"
"3903","Sally Yan","Sally","Yan","Scientist","2797","4","4","1","0","3","7","3","16","Active"
"3904","Jacinta Alfredo","Jacinta","Alfredo","Diplomat","1096","5","4","5","3","4","1","5","5","Active"
"85146","Chineso Shungube","Chineso","Shungube","Hacker","2455","2","4","5","1","2","4","4","16","Active"
"99077","Anandjot Jali","Anandjot","Jali","Activist","1492","8","4","3","1","0","0","1","11","Active"
"99060","Dalaja Pawan","Dalaja","Pawan","Fixer","1501","3","5","5","0","0","1","2","9","Active"
"99076","Migwi Njenga","Migwi","Njenga","Tycoon","2581","3","3","3","5","7","3","3","6","Active"
"47876","Xenoform Alfa-20","Xenoform","Alfa-20","Alien",,"10","2","10","8","5","6","10","25","Active"
"24213","Xenoform Alfa-17","Xenoform","Alfa-17","Alien",,"7","4","10","8","5","8","13","25","Active"
"99066","Romina Paez","Romina","Paez","TechMogul","1852","6","2","2","1","4","6","4","10","Active"
"28017","Xenoform Alfa-18","Xenoform","Alfa-18","Alien",,"8","2","12","7","4","5","11","25","Active"
"95353","Reshmina Akakhel","Reshmina","Akakhel","Diplomat","2068","7","3","4","3","4","0","4","6","Active"
"98519","Asti Botani","Asti","Botani","Celebrity","2635","8","2","0","1","4","1","3","15","Active"
"76418","Xenoform Alfa-22","Xenoform","Alfa-22","Alien",,"9","3","10","9","8","7","12","25","Active"
"99073","Cesar Varo","Cesar","Varo","Kingpin","2482","5","2","4","5","5","0","5","13","Active"
"6310","Xenoform Alfa-7","Xenoform","Alfa-7","Alien",,"12","5","11","5","4","2","10","25","Active"
"6313","Xenoform Alfa-10","Xenoform","Alfa-10","Alien",,"10","2","11","7","7","2","13","25","Active"
"6314","Xenoform Alfa-11","Xenoform","Alfa-11","Alien",,"12","4","10","6","5","4","13","25","Active"
"6315","Xenoform Alfa-12","Xenoform","Alfa-12","Alien",,"10","2","15","5","7","4","13","25","Active"
"6317","Xenoform Alfa-14","Xenoform","Alfa-14","Alien",,"10","2","10","8","6","3","10","25","Active"
"99061","Yi Fu","Yi","Fu","Professor","3031","7","6","3","0","1","5","1","15","Active"
"99058","Candrarini Tanudisastro","Candrarini","Tanudisastro","Spy","1519","5","6","6","2","1","1","5","9","Active"
"98524","Zibeyda Hasanova","Zibeyda","Hasanova","Celebrity","1582","8","1","0","1","5","1","4","14","Active"
"97946","Piesie Forobuor","Piesie","Forobuor","Evangelist","1654","7","1","1","1","4","0","4","14","Active"
"97420","Yueyin Kui","Yueyin","Kui","Diplomat","943","5","5","6","3","5","0","5","14","Active"
"98526","Yuichi Tutiya","Yuichi","Tutiya","Journalist","3022","8","6","4","0","0","0","1","10","Active"
"99070","Patryk Matuszewski","Patryk","Matuszewski","Diplomat","2158","7","5","6","2","4","1","5","6","Active"
"98535","Hiranmayi Puri","Hiranmayi","Puri","Hacker","1465","4","5","6","0","2","5","4","12","Active"
"99087","Ife Oluwagbotemi","Ife","Oluwagbotemi","Celebrity","2005","7","2","1","1","3","1","3","10","Active"
"98515","Kartini Suryani","Kartini","Suryani","Hacker","1519","4","4","5","0","2","6","3","10","Active"
"99059","Hadiya Wamocha","Hadiya","Wamocha","Tycoon","2662","4","3","1","3","7","1","4","11","Active"
"97934","Bisengo Ngoy","Bisengo","Ngoy","Rebel","1060","6","3","5","7","2","0","4","15","Active"
"99084","Bibha Mookerjee","Bibha","Mookerjee","Kingpin","619","5","4","5","5","5","0","4","7","Active"
"99071","Chenghua Wei","Chenghua","Wei","Attorney","943","7","7","2","2","5","2","3","16","Active"
"99062","Gustave Kaboba","Gustave","Kaboba","Rebel","1780","6","3","6","6","2","0","6","4","Active"
"99065","Wei Bian","Wei","Bian","Engineer","961","6","6","2","1","5","6","2","14","Active"
"95322","Xianshu Na","Xianshu","Na","Operative","961","3","4","6","4","1","0","4","10","Active"
"99075","Julio Villasenor","Julio","Villasenor","TechMogul","2824","5","3","1","2","5","5","4","11","Active"
"99079","Abita Popal","Abita","Popal","Officer","619","6","1","1","7","6","1","6","12","Active"
"99081","Hirosuke Ebihara","Hirosuke","Ebihara","Executive","3022","5","3","0","4","6","0","3","10","Active"
"95350","Perati Panich","Perati","Panich","Engineer","2599","3","5","1","1","6","7","2","16","Active"
"99074","Hisao Sogabe","Hisao","Sogabe","Fixer","1672","3","5","6","1","0","1","3","12","Active"
"98538","Uttara Subrahmanyam","Uttara","Subrahmanyam","Kingpin","3013","4","4","4","5","5","0","6","14","Active"
"99086","Mong Quynh Thi","Mong Quynh","Thi","Attorney","2905","7","6","3","1","5","1","4","6","Active"
"95346","Qianer Zhan","Qianer","Zhan","Activist","1006","7","5","4","0","0","1","1","14","Active"
"80675","Chloe Baudouin","Chloe","Baudouin","TechMogul","1222","4","2","2","2","5","5","3","16","Active"
"98518","Yuhua Bian","Yuhua","Bian","Politician","1024","7","3","3","1","5","0","3","10","Active"
"99063","Jiaying Xun","Jiaying","Xun","Celebrity","916","7","3","1","0","5","0","4","9","Active"
"98529","Arkadi Osipov","Arkadi","Osipov","Hacker","1708","2","4","6","0","1","6","4","6","Active"
"99080","Ankhbat Muhammad","Ankhbat","Muhammad","Celebrity","997","8","3","0","1","5","0","4","5","Active"
"99069","Kunthara Tanjaya","Kunthara","Tanjaya","Officer","1546","5","2","4","8","6","2","5","16","Active"
"99067","Aldo Solar","Aldo","Solar","Engineer","1339","4","4","1","2","5","6","2","9","Active"
"98517","Qing Fu","Qing","Fu","Operative","952","2","3","6","4","0","1","5","13","Active"
"97434","Henfeng Mi","Henfeng","Mi","Attorney","889","7","7","3","1","3","0","3","6","Active"
"99064","Zixi Geng","Zixi","Geng","Scientist","979","1","6","2","0","4","7","3","8","Active"
"97940","Renan Moraes","Renan","Moraes","Politician","727","6","3","2","1","5","1","4","11","Active"
"98539","Prahalad Chaudhari","Prahalad","Chaudhari","Hacker","1402","4","4","5","0","2","4","2","14","Active"
"97939","Toshio Ninomiya","Toshio","Ninomiya","Rebel","1681","4","4","5","6","2","0","4","11","Active"
"99072","Olaf Konrad","Olaf","Konrad","Engineer","1312","6","5","2","2","5","6","2","6","Active"
"95335","Svaraj Tandekar","Svaraj","Tandekar","Evangelist","1447","7","2","0","2","5","0","3","9","Active"
"98520","Valentin Brossard","Valentin","Brossard","Officer","1249","4","2","3","8","5","0","6","12","Active"
"99078","Ataru Fujita","Ataru","Fujita","Scientist","1672","2","6","0","0","5","7","3","8","Active"
"99057","Louka Vlaeminck","Louka","Vlaeminck","Engineer","637","4","4","2","2","5","6","3","9","Active"
"81383","Yajat Pundari","Yajat","Pundari","Inspector","1474","4","6","4","5","5","2","4","12","Active"
"99056","Iara Chaves","Iara","Chaves","Executive","736","5","2","2","5","5","3","2","13","Active"
"99082","Sadhana Joshi","Sadhana","Joshi","Commando","1429","1","2","4","6","1","0","6","10","Active"
"80683","Hasibah Hamidi","Hasibah","Hamidi","Officer","3040","6","1","2","7","4","2","5","13","Active"
"99083","Alfred Hollins","Alfred","Hollins","Engineer","2824","2","5","2","1","4","6","2","9","Active"
"98514","Natiq Karim","Natiq","Karim","Professor","1447","6","6","3","0","4","6","1","7","Active"
"99068","Nilakshi Uttara","Nilakshi","Uttara","Spy","1393","6","5","6","3","2","1","4","15","Active"
"99085","She Yu","She","Yu","Diplomat","961","6","4","6","2","4","0","5","16","Active"
"98522","Henfeng Lu","Henfeng","Lu","Judge","952","5","6","1","2","4","0","3","14","Active"
"95334","Wamweru Ondiko","Wamweru","Ondiko","Journalist","1726","7","6","3","0","0","3","0","6","Active"
"98521","Jumaana Turay","Jumaana","Turay","Hacker","2374","2","5","6","1","3","4","2","6","Active"
